name,twitter,party,chamber,twitter_id
Bohdan Paszkowski,,,upper chamber,
Grzegorz Peczkis,,,upper chamber,
Marek Pęk,Marek_Pek,Prawo i Sprawiedliwość,upper chamber,845647861509443585
Wojciech Piecha,,,upper chamber,
Aleksander Pociej,APociej,,upper chamber,1091782375
Marian Poślednik,,,upper chamber,
Michał Potoczny,,,upper chamber,
Krystian Probierz,,,upper chamber,
Zdzisław Pupa,,,upper chamber,
Konstanty Radziwiłł,Radziwill_K,Prawo i Sprawiedliwość,upper chamber,3648323300
Marek Rocki,,,upper chamber,
Tadeusz Romańczuk,,,upper chamber,
Jadwiga Rotnicka,JadwigaRotnicka,Platforma Obywatelska,upper chamber,3197509305
Jan Rulewski,,,upper chamber,
Jarosław Rusiecki,,,upper chamber,
Sławomir Rybicki,,,upper chamber,
Czesław Ryszka,,,upper chamber,
Janina Sagatowska,,,upper chamber,
Michał Seweryński,,,upper chamber,
Krzysztof Słoń,k_slon,Prawo i Sprawiedliwość,upper chamber,302550910
Waldemar Sługocki,WSlugocki,Platforma Obywatelska,upper chamber,857012935
Andrzej Stanisławek,A_Stanislawek,,upper chamber,968106509707116546
Lidia Staroń,,,upper chamber,
Grażyna Sztark,,,upper chamber,
Aleksander Szwed,SenatorSZWED,Prawo i Sprawiedliwość,upper chamber,4602373035
Antoni Szymański,Szymanski2015,Porozumienie,upper chamber,3587291121
Rafał Ślusarz,slusarzrafal,Prawo i Sprawiedliwość,upper chamber,3688850067
Przemysław Termiński,Pterminski,Platforma Obywatelska,upper chamber,
Piotr Wach,,,upper chamber,
Artur Warzocha,WarzochaArtur,Prawo i Sprawiedliwość,upper chamber,873922922750017536
Jerzy Wcisła,Jerzy_Wcisla,Platforma Obywatelska,upper chamber,971082644900532231
Kazimierz Wiatr,,,upper chamber,
Jacek Włosowicz,,,upper chamber,
Andrzej Wojtyła,,,upper chamber,
Alicja Zając,SzajacZajac,Prawo i Sprawiedliwość,upper chamber,4877701834
Józef Zając,,,upper chamber,
Barbara Zdrojewska,Bzdrojewska,Platforma Obywatelska,upper chamber,
Piotr Zientarski,ZientarskiPiotr,Platforma Obywatelska,upper chamber,800662827736276992
Jan Żaryn,JanZaryn,Prawo i Sprawiedliwość,upper chamber,3621876855
Arkit Tadeusz,tadeuszarkit,Platforma Obywatelska,lower chamber,364925029
Arłukowicz Bartosz,Arlukowicz,Platforma Obywatelska,lower chamber,101561338
Arndt Paweł,PawelArndt,Platforma Obywatelska,lower chamber,2363889290
Augustyn Urszula,UrszulaAugustyn,Platforma Obywatelska,lower chamber,2219208608
Aziewicz Tadeusz,Taziewicz,Platforma Obywatelska,lower chamber,
Balcerzak Klaudiusz,,Platforma Obywatelska,lower chamber,
Biernacki Marek,,Platforma Obywatelska,lower chamber,
Biernat Andrzej,,Platforma Obywatelska,lower chamber,
Bojko Bogdan,,Platforma Obywatelska,lower chamber,
Borowczak Jerzy,BorowczakJerzy,Platforma Obywatelska,lower chamber,1014868371291148295
Borowiak Łukasz,lukasz_borowiak,Platforma Obywatelska,lower chamber,550715153
Brejza Krzysztof,KrzysztofBrejza,Platforma Obywatelska,lower chamber,87795577
Brodniak Roman,RomanBrodniak,Platforma Obywatelska,lower chamber,76732327
Brzezinka Jacek,jbrzezinka,Platforma Obywatelska,lower chamber,2701774142
Bublewicz Beata,BeataBublewicz,Platforma Obywatelska,lower chamber,909126540
Budnik Jerzy,,Platforma Obywatelska,lower chamber,
Bukiewicz Bożenna,bbukiewicz,Platforma Obywatelska,lower chamber,2424791941
Buła Andrzej,Andrzej_Bula,Platforma Obywatelska,lower chamber,1111556666506530816
Butryn Renata,RenataButryn,Platforma Obywatelska,lower chamber,3398552650
Chmielewski Stanisław,,Platforma Obywatelska,lower chamber,
Cichoń Janusz,CichonJanusz,Platforma Obywatelska,lower chamber,360572667
Cieślik Leszek,,Platforma Obywatelska,lower chamber,
Cieśliński Piotr,PiotrCieslinski,Platforma Obywatelska,lower chamber,156598692
Czaplicka Barbara,,Platforma Obywatelska,lower chamber,
Czechyra Czesław,,Platforma Obywatelska,lower chamber,
Czerwiński Andrzej,poselczerwinski,Platforma Obywatelska,lower chamber,217569496
Czuma Andrzej,,Platforma Obywatelska,lower chamber,
Dąbrowska Alicja,,Platforma Obywatelska,lower chamber,
Drozd Ewa,,Platforma Obywatelska,lower chamber,
Drzewiecki Mirosław Michał,,Platforma Obywatelska,lower chamber,
Dunin Artur,ArturDunin,Platforma Obywatelska,lower chamber,140957301
Durka Zenon,,Platforma Obywatelska,lower chamber,
Dzięcioł Janusz,,Platforma Obywatelska,lower chamber,
Dzikowski Waldy,waldydzikowski,Platforma Obywatelska,lower chamber,1379122699
Fabisiak Joanna,joanna_fabisiak,Platforma Obywatelska,lower chamber,3978860301
Fedorowicz Jerzy Feliks,FedorowiczJerzy,Platforma Obywatelska,lower chamber,4653507257
Fiedler Arkady,,Platforma Obywatelska,lower chamber,
Gadowski Krzysztof,,Platforma Obywatelska,lower chamber,
Gałażewski Andrzej,galazewski,Platforma Obywatelska,lower chamber,355562167
Gawłowski Stanisław,StGawlowski,Platforma Obywatelska,lower chamber,759356536724525056
Gąsior-Marek Magdalena,GasiorMarek,Platforma Obywatelska,lower chamber,2978590876
Gibała Łukasz,LukaszGibala,Platforma Obywatelska,lower chamber,318398595
Gierada Artur,arturgierada,Platforma Obywatelska,lower chamber,151506536
Głogowski Tomasz,,Platforma Obywatelska,lower chamber,
Godson John Abraham,johngodson,Platforma Obywatelska,lower chamber,57151288
Gowin Jarosław,Jaroslaw_Gowin,Platforma Obywatelska,lower chamber,580682368
Grabarczyk Cezary,c_grabarczyk,Platforma Obywatelska,lower chamber,410104436
Grad Aleksander,,Platforma Obywatelska,lower chamber,
Grad Mariusz,,Platforma Obywatelska,lower chamber,
Graś Paweł,pawelgras,Platforma Obywatelska,lower chamber,296141234
Grupiński Rafał,,Platforma Obywatelska,lower chamber,
Gut-Mostowy Andrzej,GutMostowy,Platforma Obywatelska,lower chamber,1483228472
Guzowska Iwona,,Platforma Obywatelska,lower chamber,
Halicki Andrzej,AndrzejHalicki,Platforma Obywatelska,lower chamber,993849096
Hanajczyk Agnieszka,,Platforma Obywatelska,lower chamber,
Huskowski Stanisław,Huskowski,Platforma Obywatelska,lower chamber,335215953
Jarmuziewicz Tadeusz,Jarmuziewicz,Platforma Obywatelska,lower chamber,2215478497
Jaros Michał,JarosMichal,Platforma Obywatelska,lower chamber,130116348
Jastrzębski Leszek,JastrzebskiL,Platforma Obywatelska,lower chamber,73143796
Kaczor Roman,,Platforma Obywatelska,lower chamber,
Kania Andrzej,andy_kania,Platforma Obywatelska,lower chamber,2644969120
Karpiński Grzegorz,G_Karpinski,Platforma Obywatelska,lower chamber,2926881503
Karpiński Włodzimierz,wlkarpinski,Platforma Obywatelska,lower chamber,806064168969392128
Katulski Jarosław,,Platforma Obywatelska,lower chamber,
Kaźmierczak Jan,,Platforma Obywatelska,lower chamber,
Kidawa-Błońska Małgorzata,M_K_Blonska,Platforma Obywatelska,lower chamber,2280346687
Kilian Wiesław,,Platforma Obywatelska,lower chamber,
Klim Józef Piotr,,Platforma Obywatelska,lower chamber,
Kluzik-Rostkowska Joanna,joannakluzik,Platforma Obywatelska,lower chamber,904085023
Kłosin Krystyna,KrystynaKlosin,Platforma Obywatelska,lower chamber,3655458861
Kochan Magdalena,KochanMagdalena,Platforma Obywatelska,lower chamber,943815402529935360
Konwiński Zbigniew,Konwinski_PO,Platforma Obywatelska,lower chamber,4318943867
Kopacz Ewa,EwaKopacz,Platforma Obywatelska,lower chamber,110963318
Kopaczewska Domicela,,Platforma Obywatelska,lower chamber,
Kopeć Tadeusz,TadeuszKopec,Platforma Obywatelska,lower chamber,366181262
Korzeniowski Leszek,,Platforma Obywatelska,lower chamber,
Kosecki Roman,kosecki_roman,Platforma Obywatelska,lower chamber,3238584581
Kozaczyński Jacek,Jkozaczynski,Platforma Obywatelska,lower chamber,
Kozdroń Jerzy,,Platforma Obywatelska,lower chamber,
Kozłowska-Rajewicz Agnieszka,AKRajewicz,Platforma Obywatelska,lower chamber,2362739336
Koźlakiewicz Mirosław,,Platforma Obywatelska,lower chamber,
Kropiwnicki Robert,Rkropiwnicki,Platforma Obywatelska,lower chamber,
Krupa Adam,,Platforma Obywatelska,lower chamber,
Krupa Jacek,JkKrupa,Platforma Obywatelska,lower chamber,861933877
Krząkała Marek,MarekKrzakala,Platforma Obywatelska,lower chamber,364316079
Kulas Jan,,Platforma Obywatelska,lower chamber,
Kulesza Tomasz,,Platforma Obywatelska,lower chamber,
Kuriata Jan,,Platforma Obywatelska,lower chamber,
Lamczyk Stanisław,S_Lamczyk,Platforma Obywatelska,lower chamber,4118714008
Lenz Tomasz,TomaszLenz,Platforma Obywatelska,lower chamber,1441718522
Leszczyna Izabela,Leszczyna,Platforma Obywatelska,lower chamber,61552404
Libicki Jan Filip,jflibicki,Platforma Obywatelska,lower chamber,249251654
Lipiński Dariusz,DarLipinski,Platforma Obywatelska,lower chamber,2414184907
Litwiński Arkadiusz,a_litwinski,Platforma Obywatelska,lower chamber,197482078
Małecka-Libera Beata,,Platforma Obywatelska,lower chamber,
Marcinkiewicz Michał,mmarcinkiewicz,Platforma Obywatelska,lower chamber,130318842
Matusik-Lipiec Katarzyna,,Platforma Obywatelska,lower chamber,
Mężydło Antoni,,Platforma Obywatelska,lower chamber,
Miodowicz Konstanty,,Platforma Obywatelska,lower chamber,
Młyńczak Aldona,AldonaMlynczak,Platforma Obywatelska,lower chamber,340397448
Mroczek Czesław,,Platforma Obywatelska,lower chamber,
Mrzygłocka Izabela Katarzyna,,Platforma Obywatelska,lower chamber,
Mucha Joanna,joannamucha,Platforma Obywatelska,lower chamber,304445685
Musiał Jan,,Platforma Obywatelska,lower chamber,
Naguszewski Tadeusz,,Platforma Obywatelska,lower chamber,
Neumann Sławomir,,Platforma Obywatelska,lower chamber,
Niesiołowski Stefan,NiesiolowskiSte,Platforma Obywatelska,lower chamber,2427923996
Nowak Tomasz Piotr,,Platforma Obywatelska,lower chamber,
Nykiel Mirosława,MiroslawaNykiel,Platforma Obywatelska,lower chamber,793662463
Okła-Drewnowicz Marzena,OklaDrewnowicz,Platforma Obywatelska,lower chamber,3305466189
Okrągły Janina,,Platforma Obywatelska,lower chamber,
Olechowska Alicja,aolechowska,Platforma Obywatelska,lower chamber,259320058
Olejniczak Danuta,DOlejniczak,Platforma Obywatelska,lower chamber,372270149
Olszewski Paweł,PawelOlszewski,Platforma Obywatelska,lower chamber,280119771
Ołowski Piotr,,Platforma Obywatelska,lower chamber,
Orłowski Paweł,,Platforma Obywatelska,lower chamber,
Orzechowski Andrzej,AOrzech,Platforma Obywatelska,lower chamber,128148175
Orzechowski Maciej,,Platforma Obywatelska,lower chamber,
Oświęcimski Konstanty,,Platforma Obywatelska,lower chamber,
Pacelt Zbigniew,,Platforma Obywatelska,lower chamber,
Pahl Witold,WitoldPahl,Platforma Obywatelska,lower chamber,778554866935406593
Patalita Tadeusz,TadeuszPatalita,Platforma Obywatelska,lower chamber,3558232697
Piechota Sławomir,piechotapl,Platforma Obywatelska,lower chamber,2553085394
Pierzchała Elżbieta,,Platforma Obywatelska,lower chamber,
Pietraszewska Danuta,D_Pietraszewska,Platforma Obywatelska,lower chamber,3352919092
Pięta Jarosław,JaroslawPieta,Platforma Obywatelska,lower chamber,92255581
Piotrowska Teresa,,Platforma Obywatelska,lower chamber,
Pisalski Grzegorz,,Platforma Obywatelska,lower chamber,
Pitera Julia,,Platforma Obywatelska,lower chamber,
Plocke Kazimierz,KazimierzPlocke,Platforma Obywatelska,lower chamber,3891465892
Plura Marek,marekplura,Platforma Obywatelska,lower chamber,3435481989
Pluta Mirosław,mirekpluta,Platforma Obywatelska,lower chamber,3386148838
Pomaska Agnieszka,pomaska,Platforma Obywatelska,lower chamber,44146348
Preiss Sławomir,slawomirpreiss,Platforma Obywatelska,lower chamber,2790550992
Raba Norbert,,Platforma Obywatelska,lower chamber,
Raczkowski Damian,Raczkowski,Platforma Obywatelska,lower chamber,73352252
Radziszewska Elżbieta,e_radziszewska,Platforma Obywatelska,lower chamber,3373515413
Raniewicz Grzegorz,Raniewicz,Platforma Obywatelska,lower chamber,873786324
Raś Ireneusz,IrekRas,Platforma Obywatelska,lower chamber,376253406
Redzimski Leszek,LeszekRedzimski,Platforma Obywatelska,lower chamber,179721640
Ross Tadeusz,TadeuszRoss,Platforma Obywatelska,lower chamber,1480188583
Roszak Grzegorz,,Platforma Obywatelska,lower chamber,
Rozpondek Halina,halinar62,Platforma Obywatelska,lower chamber,1223054454
Rusinowska Beata,beatarusinowska,Platforma Obywatelska,lower chamber,3020134125
Rutkowska Dorota,DorotaRutkowsk1,Platforma Obywatelska,lower chamber,623717594
Rutnicki Jakub,,Platforma Obywatelska,lower chamber,
Rybicki Sławomir,,Platforma Obywatelska,lower chamber,
Rynasiewicz Zbigniew,,Platforma Obywatelska,lower chamber,
Ryszka Andrzej,,Platforma Obywatelska,lower chamber,
Rząsa Marek,MarekRzasa1,Platforma Obywatelska,lower chamber,1157185489
Rzymełka Jan,RzymelkaJan,Platforma Obywatelska,lower chamber,326821171
Saługa Wojciech,WojciechSaluga,Platforma Obywatelska,lower chamber,2909824174
Schetyna Grzegorz,SchetynadlaPO,Platforma Obywatelska,lower chamber,4267404640
Sekuła Mirosław,,Platforma Obywatelska,lower chamber,
Siedlaczek Henryk,,Platforma Obywatelska,lower chamber,
Sikorski Radosław,sikorskiradek,Platforma Obywatelska,lower chamber,117029568
Sitarz Witold,,Platforma Obywatelska,lower chamber,
Skowrońska Krystyna,Skowronska_PO,Platforma Obywatelska,lower chamber,1113361271800381440
Sławiak Bożena,,Platforma Obywatelska,lower chamber,
Smirnow Andrzej,smirnowandrzej,Platforma Obywatelska,lower chamber,3340629957
Smolarz Tomasz,Tomasz_Smolarz,Platforma Obywatelska,lower chamber,1238946798
Sokołowski Wojciech,,Platforma Obywatelska,lower chamber,
Staroń Lidia,,Platforma Obywatelska,lower chamber,
Stolarczyk Jarosław,StolarczykJ,Platforma Obywatelska,lower chamber,377986488
Stuligrosz Michał,Mstuligrosz,Platforma Obywatelska,lower chamber,
Suchowiejko Wiesław,Wsuchowiejko,Platforma Obywatelska,lower chamber,
Suski Paweł,pawelsuski,Platforma Obywatelska,lower chamber,1280178583
Sycz Miron,,Platforma Obywatelska,lower chamber,
Szczerba Michał,MichalSzczerba,Platforma Obywatelska,lower chamber,58919878
Szejnfeld Adam,szejnfeld,Platforma Obywatelska,lower chamber,535452316
Sztolcman Grzegorz,Gsztolcman,Platforma Obywatelska,lower chamber,
Szulc Jakub,Kuba_73,Platforma Obywatelska,lower chamber,53031569
Szumilas Krystyna,kr_szumilas,Platforma Obywatelska,lower chamber,2905517248
Szydłowska Bożena,Bszydlowska,Platforma Obywatelska,lower chamber,
Śledzińska-Katarasińska Iwona,ikatarasinska,Platforma Obywatelska,lower chamber,881775738
Śliwińska Anna,,Platforma Obywatelska,lower chamber,
Tomański Piotr,PiotrTomanski,Platforma Obywatelska,lower chamber,102765595
Tomaszak-Zesiuk Irena,,Platforma Obywatelska,lower chamber,
Tomczak Jacek,Jacek_Tomczak,Platforma Obywatelska,lower chamber,3481720163
Tomczyk Cezary,Ctomczyk,Platforma Obywatelska,lower chamber,
Tomczykiewicz Tomasz,ttomczykiewicz,Platforma Obywatelska,lower chamber,279130727
Tusk Donald,donaldtusk,Platforma Obywatelska,lower chamber,196994616
Tusk Łukasz,,Platforma Obywatelska,lower chamber,
Tyszkiewicz Krzysztof,,Platforma Obywatelska,lower chamber,
Tyszkiewicz Robert,Rtyszkiewicz,Platforma Obywatelska,lower chamber,
Urban Cezary,,Platforma Obywatelska,lower chamber,
Van der Coghen Piotr,,Platforma Obywatelska,lower chamber,
Waśko Piotr,,Platforma Obywatelska,lower chamber,
Wielichowska Monika,MWielichowska,Platforma Obywatelska,lower chamber,2248939558
Wilk Wojciech,WilkWojciech,Platforma Obywatelska,lower chamber,338950702
Wojciechowski Jarosław,,Platforma Obywatelska,lower chamber,
Witkowski Radosław,radwitkowski,Platforma Obywatelska,lower chamber,57783937
Wojnarowski Norbert,,Platforma Obywatelska,lower chamber,
Wojtkowski Marek,,Platforma Obywatelska,lower chamber,
Wolak Ewa,EwaWolak,Platforma Obywatelska,lower chamber,331792412
Wójcik Marek,marek_wojcik,Platforma Obywatelska,lower chamber,260057212
Wykręt Adam,,Platforma Obywatelska,lower chamber,
Zacharewicz Jacek,,Platforma Obywatelska,lower chamber,
Zakrzewska Jadwiga,,Platforma Obywatelska,lower chamber,
Zaremba Renata,RenataZaremba,Platforma Obywatelska,lower chamber,132973181
Zawadzki Ryszard,,Platforma Obywatelska,lower chamber,
Zdrojewski Bogdan,Bzdrojewski,Platforma Obywatelska,lower chamber,
Zieliński Marek,,Platforma Obywatelska,lower chamber,
Ziemniak Wojciech,,Platforma Obywatelska,lower chamber,
Ziętek Jerzy,jerzyzietek,Platforma Obywatelska,lower chamber,2330204016
Żalek Jacek,JacekZalek,Platforma Obywatelska,lower chamber,297385591
Żmijan Stanisław,posel_zmijan,Platforma Obywatelska,lower chamber,743390771093581824
Żyliński Adam,,Platforma Obywatelska,lower chamber,
Abramowicz Adam,,Prawo i Sprawiedliwość,lower chamber,
Adamczyk Andrzej,AMAdamczyk,Prawo i Sprawiedliwość,lower chamber,3341340040
Andzel Waldemar,AndzelWaldemar,Prawo i Sprawiedliwość,lower chamber,1048223781456629760
Arent Iwona,IwonaArent,Prawo i Sprawiedliwość,lower chamber,176356072
Ast Marek,marek_ast,Prawo i Sprawiedliwość,lower chamber,750985517488021504
Babalski Zbigniew,Zbabalski,Prawo i Sprawiedliwość,lower chamber,
Babinetz Piotr,PiotrBabinetz,Prawo i Sprawiedliwość,lower chamber,882917064368902146
Bartuś Barbara,,Prawo i Sprawiedliwość,lower chamber,
Bąk Dariusz,,Prawo i Sprawiedliwość,lower chamber,
Bętkowski Andrzej,,Prawo i Sprawiedliwość,lower chamber,
Błaszczak Mariusz,mblaszczak,Prawo i Sprawiedliwość,lower chamber,138048156
Błądek Antoni,antonibladek,Prawo i Sprawiedliwość,lower chamber,252993027
Bogucki Jacek,,Prawo i Sprawiedliwość,lower chamber,
Brudziński Joachim,jbrudzinski,Prawo i Sprawiedliwość,lower chamber,114159548
Bury Jan s. Antoniego,BuryJanek,Prawo i Sprawiedliwość,lower chamber,1004042359
Chłopek Aleksander,,Prawo i Sprawiedliwość,lower chamber,
Chmielowiec Zbigniew,,Prawo i Sprawiedliwość,lower chamber,
Chrapkiewicz Daniela,,Prawo i Sprawiedliwość,lower chamber,
Czarnecki Witold,WitoldCzarneck3,Prawo i Sprawiedliwość,lower chamber,1049587880673374208
Czartoryski Arkadiusz,,Prawo i Sprawiedliwość,lower chamber,
Czesak Edward,,Prawo i Sprawiedliwość,lower chamber,
Ćwierz Andrzej,,Prawo i Sprawiedliwość,lower chamber,
Dera Andrzej Mikołaj,,Prawo i Sprawiedliwość,lower chamber,
Dolata Zbigniew,,Prawo i Sprawiedliwość,lower chamber,
Drab Marzenna,,Prawo i Sprawiedliwość,lower chamber,
Dziedziczak Jan,,Prawo i Sprawiedliwość,lower chamber,
Falfus Jacek,,Prawo i Sprawiedliwość,lower chamber,
Girzyński Zbigniew,girzynski,Prawo i Sprawiedliwość,lower chamber,73079601
Giżyński Szymon Stanisław,SzymonGizynski,Prawo i Sprawiedliwość,lower chamber,881809146735153152
Golba Mieczysław,,Prawo i Sprawiedliwość,lower chamber,
Gołojuch Kazimierz,,Prawo i Sprawiedliwość,lower chamber,
Gosiewski Jerzy,,Prawo i Sprawiedliwość,lower chamber,
Górski Artur,,Prawo i Sprawiedliwość,lower chamber,
Górski Tomasz,GorskiTomek,Prawo i Sprawiedliwość,lower chamber,2241287203
Grabicka Krystyna,,Prawo i Sprawiedliwość,lower chamber,
Gwiazdowski Kazimierz,Kaz_Gwiazdowski,Prawo i Sprawiedliwość,lower chamber,1049206046970060801
Hoc Czesław,czeslawhoc,Prawo i Sprawiedliwość,lower chamber,362555490
Hofman Adam,AdamHofman,Prawo i Sprawiedliwość,lower chamber,60049302
Jackiewicz Dawid,DawidJackiewicz,Prawo i Sprawiedliwość,lower chamber,81384790
Jagiełło Jarosław,,Prawo i Sprawiedliwość,lower chamber,
Janczyk Wiesław,janczykwieslaw,Prawo i Sprawiedliwość,lower chamber,1612386470
Janik Grzegorz,GrzegorzJanik7,Prawo i Sprawiedliwość,lower chamber,1050120817827307521
Jasiński Wojciech,jasinski_wojtek,Prawo i Sprawiedliwość,lower chamber,3373749005
Jaworski Andrzej,ACJaworski,Prawo i Sprawiedliwość,lower chamber,590761710
Jurgiel Krzysztof,ministerjurgiel,Prawo i Sprawiedliwość,lower chamber,981468706302758912
Kaczanowski Dariusz,DariuszKrech,Prawo i Sprawiedliwość,lower chamber,1043490785419833345
Kaczyński Jarosław,,Prawo i Sprawiedliwość,lower chamber,
Kamiński Mariusz,MariuszKaminsk,Prawo i Sprawiedliwość,lower chamber,902969142822793223
Karski Karol,profKarski,Prawo i Sprawiedliwość,lower chamber,2455611960
Kempa Beata,BeataKempa_KPRM,Prawo i Sprawiedliwość,lower chamber,4172002246
Kloc Izabela,IzabelaKloc,Prawo i Sprawiedliwość,lower chamber,2462922450
Kłosowski Sławomir,poselklosowski,Prawo i Sprawiedliwość,lower chamber,475928622
Kołakowski Lech,,Prawo i Sprawiedliwość,lower chamber,
Kołakowski Robert,,Prawo i Sprawiedliwość,lower chamber,
Kossakowski Wojciech,KossakowskiWo,Prawo i Sprawiedliwość,lower chamber,137969025
Kowalczyk Henryk,,Prawo i Sprawiedliwość,lower chamber,
Kowalski Bogusław,BogKowalski,Prawo i Sprawiedliwość,lower chamber,4462739789
Kozak Zbigniew,kozakzbigniew,Prawo i Sprawiedliwość,lower chamber,48289118
Kraczkowski Maks,,Prawo i Sprawiedliwość,lower chamber,
Krasulski Leonard,Lkrasulski,Prawo i Sprawiedliwość,lower chamber,
Kruk Elżbieta,,Prawo i Sprawiedliwość,lower chamber,
Kuchciński Marek,MarekKuchcinski,Prawo i Sprawiedliwość,lower chamber,4430407223
Kwitek Marek,Marek07851557,Prawo i Sprawiedliwość,lower chamber,1042185375924543488
Latos Tomasz,LatosTomasz,Prawo i Sprawiedliwość,lower chamber,873380378
Lipiec Krzysztof,KrzysztofLipiec,Prawo i Sprawiedliwość,lower chamber,372699903
Lipiński Adam,,Prawo i Sprawiedliwość,lower chamber,
Łatas Marek,,Prawo i Sprawiedliwość,lower chamber,
Machałek Marzena,MarzenaMachalek,Prawo i Sprawiedliwość,lower chamber,198445724
Maciejewski Krzysztof,,Prawo i Sprawiedliwość,lower chamber,
Macierewicz Antoni,Macierewicz_A,Prawo i Sprawiedliwość,lower chamber,703533129252925441
Malik Ewa,,Prawo i Sprawiedliwość,lower chamber,
Marianowska Barbara,,Prawo i Sprawiedliwość,lower chamber,
Masłowska Gabriela,GabrielaMasows2,Prawo i Sprawiedliwość,lower chamber,1048166133931630592
Masłowska Mirosława,Mir_Maslowska,Prawo i Sprawiedliwość,lower chamber,2472118206
Materna Jerzy,jerzymaterna,Prawo i Sprawiedliwość,lower chamber,143549212
Matuszewski Marek,,Prawo i Sprawiedliwość,lower chamber,
Matuszny Kazimierz,KazimierzMatus2,Prawo i Sprawiedliwość,lower chamber,1047927473621671936
Mazurek Beata,beatamk,Prawo i Sprawiedliwość,lower chamber,1118740158
Michałkiewicz Krzysztof,Kmichalkiewicz,Prawo i Sprawiedliwość,lower chamber,
Młynarczyk Henryk,,Prawo i Sprawiedliwość,lower chamber,
Moskal Kazimierz,,Prawo i Sprawiedliwość,lower chamber,
Mularczyk Arkadiusz,arekmularczyk,Prawo i Sprawiedliwość,lower chamber,72826548
Nowak Maria,,Prawo i Sprawiedliwość,lower chamber,
Olendzka Halina,,Prawo i Sprawiedliwość,lower chamber,
Opioła Marek,,Prawo i Sprawiedliwość,lower chamber,
Osuch Jacek,,Prawo i Sprawiedliwość,lower chamber,
Ożóg Stanisław,biuroposelskie,Prawo i Sprawiedliwość,lower chamber,77171292
Pająk Andrzej,,Prawo i Sprawiedliwość,lower chamber,
Paluch Anna,AnnaPaluchSejm,Prawo i Sprawiedliwość,lower chamber,953561225429966848
Piecha Bolesław Grzegorz,,Prawo i Sprawiedliwość,lower chamber,
Pięta Stanisław,stpieta,Prawo i Sprawiedliwość,lower chamber,1225292564
